ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
4,5669,5690,5681,5686,3,0,675,104,0,0
4,5669,5695,5685,5695,4,0,900,138,0,0
4,5669,5838,5723,5763,6,0,1350,104,0,0
4,5669,5838,5723,5741,8,0,1800,138,0,0
4,5669,5838,5723,5685,12,0,2700,138,0,0
4,5533,5838,5684,5564,16,0,3600,138,0,0
4,5525,5838,5675,5525,17,0,3825,119,0,0
4,5510,5838,5658,5510,19,0,4275,132,0,0
4,5510,5838,5653,5555,20,0,4500,139,0,0
4,5429,5838,5642,5429,21,0,4725,124,0,0
4,5429,5838,5637,5531,22,0,4950,129,0,0
4,5429,5838,5631,5489,23,0,5175,135,0,0
4,5429,5838,5623,5455,24,0,5400,140,0,0
4,5425,5838,5615,5425,25,0,5625,127,0,0
4,5292,5838,5596,5292,27,0,6075,136,0,0
4,5292,5838,5587,5347,28,0,6300,140,0,0
4,5292,5838,5579,5367,29,0,6525,129,0,0
4,5292,5838,5570,5451,31,0,6975,138,0,0
4,5292,5838,5564,5366,32,0,7200,141,0,0
4,5292,5838,5556,5315,33,0,7425,131,0,0
4,5292,5838,5555,5512,34,0,7650,135,0,0
4,5292,5838,5549,5339,35,0,7875,138,0,0
4,5144,5838,5538,5144,36,0,8100,141,0,0
4,5144,5838,5533,5381,37,0,8325,132,0,0
